inc_bef_tax,profit_loss_year,balsheet_notfullyear,founded_year,ceo_count,foreign,female,birth_year,inoffice_days,default,idade_empresa,equity_ratio,fixed_asset_ratio,was_operating_2011,sales_growth,is_growing,nace_main_3312.0,nace_main_3320.0,nace_main_5510.0,nace_main_5610.0,nace_main_5629.0,nace_main_5630.0,nace_main_other,ind2_27.0,ind2_28.0,ind2_33.0,ind2_55.0,ind2_56.0,ind2_other,urban_m_2,urban_m_3,region_m_East,region_m_West,log_amort,log_curr_assets,log_curr_liab,log_extra_exp,log_extra_inc,log_extra_profit_loss,log_fixed_assets,log_intang_assets,log_inventories,log_liq_assets,log_material_exp,log_personnel_exp,log_sales,log_share_eq,log_subscribed_cap,log_labor_avg
-7696.29638671875,-7722.22216796875,0,2008.0,1.0,0.0,0.0,1974.0,3222.0,0,4.0,1.002719493873785,0.951899062074514,0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,6.178942527980032,9.17270391104488,7.173731271264126,0.0,0.0,0.0,12.157762643408242,0.0,0.0,9.110425936962864,9.030358264036533,0.0,7.093988952916761,12.161409788237235,12.20977445723781,0.37248568573884533
11818.5185546875,9722.22265625,0,2006.0,2.0,0.0,0.0,1975.0,3101.0,0,6.0,0.04887346694284603,0.10318818008390788,1,0.9826775303977076,1,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,9.611170078713128,12.225317212728013,11.698952258264502,0.0,0.0,0.0,10.063063194849702,0.0,6.520293785322525,9.621043560274286,13.799656925613606,10.622254602388846,13.94347789050098,11.441917478564815,9.315790903113744,0.37729421751754916
-2337.037109375,-2340.74072265625,0,2003.0,2.0,0.0,1.0,1965.5488027906092,1754.0,1,9.0,2.0,0.0,1,-0.7594369609295232,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,3.293089622023543,3.145109638124311,9.305404694145222,0.0,0.0,0.0,0.0,0.0,0.0,3.145109638124311,7.567518036558224,7.212704076334249,7.932428664236452,0.0,7.524481248257534,0.37248568573884533
96751.8515625,96751.8515625,0,1992.0,1.0,0.0,0.0,1946.0,6198.0,0,20.0,0.015960775320141483,0.8523628315198708,1,0.10265655428426776,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,10.508538925995053,11.983976494719249,9.847557806827934,0.0,0.0,0.0,13.746776648479482,7.338262198739153,9.381572921713664,11.788795589287291,12.2291066425242,11.436215167395305,12.980033750722468,13.884114670560946,9.76895465410776,0.9636368538494955
-1429.629638671875,-2351.851806640625,0,2001.0,1.0,0.0,0.0,1946.0,3594.0,0,11.0,0.03492595736736293,0.371635473106646,1,-0.23897362818306636,0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,9.437703134885712,12.205596047600421,9.021003169238275,0.0,2.129113136772844,2.129113136772844,11.680392511228016,0.0,0.0,9.830173871220095,11.108641338915655,10.927952805787557,11.773215524472686,12.64396037195323,9.315790903113744,0.5395750447740358
-1096.2962646484375,-1107.4073486328125,0,2004.0,2.0,0.0,0.5,1961.5,1246.5,0,8.0,0.20543724633993146,0.9643223994354315,1,-0.018918955317898407,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0.0,7.502247789351011,6.386193209180975,0.0,2.494123269895701,2.494123269895701,10.862005141648632,4.78347130949797,6.209186015795527,7.182211387193687,8.109804041142677,8.134000443801863,8.813322807880008,9.28567800770554,9.315790903113744,0.14217448734428612
-1262.9630126953125,-1311.111083984375,0,2001.0,1.0,0.0,0.0,1969.0,5201.0,0,11.0,0.32776138167729985,0.4542773004990684,1,-0.0005673620298372969,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,6.536530593349115,8.727075845024304,8.823735207777434,0.0,0.0,0.0,8.543705317656746,0.0,6.321766971651201,8.050171751644847,9.777392947259921,8.996078586430091,10.169587019939586,8.22134951810867,8.217358538114986,0.08004270996602277
-7992.5927734375,-8000.0,0,2011.0,2.0,0.5,0.0,1973.0,1040.0,0,1.0,2.0,0.0,0,0.0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,5.532803753649016,8.11867062720152,8.026254922515033,0.0,0.0,0.0,0.0,0.0,7.93640865352245,5.575808758677872,10.110090607826058,8.910870607276935,10.0869303880142,5.694729268325382,9.315790903113744,0.09909090714269465
124362.9609375,110022.21875,0,1998.0,1.0,1.0,0.0,1941.0,3469.0,0,14.0,0.005977683973181084,0.3735503066306867,1,0.04682304972503334,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,11.111633317625108,14.693673579140277,14.018860297943444,9.89740797649581,0.0,0.0,14.176658072530842,0.0,14.439365737481054,8.205289264690624,15.02237834278748,14.470236960337633,15.500015589566358,14.724727831815407,10.041681435305774,2.181672170307884
-11185.185546875,-11255.5556640625,0,2007.0,1.0,0.0,0.0,1946.0,3601.0,1,5.0,2.0,0.2651006760312745,1,-0.9384019751370275,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,5.834052417955863,7.392168445372977,10.089854950324952,0.0,0.0,0.0,6.373635747616165,0.0,0.0,7.00060449186122,7.506327214685022,0.0,7.168037581245324,0.0,9.315790903113744,0.15415068408473293
